APPROVED COUNTRIES,PROJECT DURATION,,,,,,,,,,,
US,18 Months,,,,,,,,,,,
------->>>>EMEA,,,,,,,,,,,,
Denmark,12 Months,,,,,,,,,,,
Ireland,11 Months,,,,,,,,,,,
Israel,12 Months,,,,,,,,,,,
Norway,12 Months,,,,,,,,,,,
Sweden,12 Months,,,,,,,,,,,
------->>>>APAC,,,,,,,,,,,,
Australia,12 Months,,,,,,,,Egor Miadzvedzeu,,,$125.00
New Zealand,12 Months,,,,,,,,,,,
Singapore,12 Months,,,,,,,,,,,
Taiwan,12 Months,,,,,,,TALENT INTRODUCED,Rishi Gautam,,,$125.00
ADDITIONAL APPROVAL REQUIRED,,,,,,,,TALENT INTRODUCED,Sarmad Ali,,,$110.00
Canada,12 Months,,,,,,,TALENT INTRODUCED,Ravish Gavekar,,,$125.00
France,12 Months,,,,,,,TALENT INTRODUCED,Arnaldo Morales,,,$90.00
Germany,12 Months,,,,,,,TALENT INTRODUCED,Dhaval Bhatt,,,$85.00
Italy,12 Months,,,,,,,TALENT INTRODUCED,Vishnu Nair,,,$130.00
Spain,12 Months,,,,,,,TALENT INTRODUCED,Lu Xin,,,$100.00
,,,,,,,,TALENT INTRODUCED,Jude Ejinkonye,,,$110.00
